size,time,timePerSize
1000,239042.3,239.04229999999998
2000,198381.5,99.19075
3000,131245.6,43.748533333333334
4000,171140.5,42.785125
5000,229050.4,45.81008
6000,286340.4,47.723400000000005
7000,299286.3,42.755185714285716
8000,345672.4,43.209050000000005
9000,398513.5,44.27927777777778
10000,444462.0,44.4462
11000,498871.2,45.35192727272727
12000,577057.0,48.08808333333333
13000,501314.5,38.56265384615384
14000,517943.5,36.99596428571429
15000,508425.7,33.895046666666666
16000,473453.6,29.59085
17000,498980.7,29.35180588235294
18000,503830.7,27.990594444444444
19000,535301.9,28.173784210526318
20000,563053.5,28.152675
21000,594561.1,28.31243333333333
22000,630627.0,28.664863636363638
23000,670449.3,29.149969565217393
24000,694626.9,28.9427875
25000,748124.4,29.924976
26000,766029.7,29.46268076923077
27000,793270.9,29.380403703703706
28000,811212.6,28.971878571428572
29000,858364.8,29.598786206896552
30000,884621.1,29.48737
31000,931846.1,30.059551612903224
32000,956169.7,29.880303124999998
33000,985999.8,29.87878181818182
34000,1011125.7,29.738991176470588
35000,1050401.0,30.011457142857143
36000,1081580.3,30.043897222222224
37000,1111337.6,30.036151351351354
38000,1138177.5,29.95203947368421
39000,1183907.4,30.356599999999997
40000,1203235.0,30.080875
41000,1241306.6,30.27577073170732
42000,1269422.9,30.22435476190476
43000,1300018.9,30.232997674418602
44000,1334443.7,30.32826590909091
45000,1381960.6,30.710235555555556
46000,1399355.4,30.420769565217388
47000,1423825.0,30.294148936170213
48000,1463866.0,30.497208333333333
49000,1502958.8,30.67262857142857
50000,1518676.1,30.373522
51000,1743861.1,34.19335490196079
52000,1827917.9,35.152267307692306
53000,1847318.5,34.85506603773585
54000,1895163.3,35.095616666666665
55000,1923680.8,34.97601454545455
56000,1971999.8,35.214282142857144
57000,2000918.3,35.1038298245614
58000,2034832.6,35.083320689655174
59000,2060396.4,34.92197288135593
60000,2113711.1,35.228518333333334
61000,2146531.7,35.189044262295084
62000,2155539.2,34.766761290322584
63000,2200320.9,34.92572857142857
64000,2237444.4,34.96006875
65000,2274422.0,34.99110769230769
66000,2303486.5,34.901310606060605
67000,2346408.3,35.02101940298507
68000,2389184.3,35.13506323529411
69000,2433929.8,35.27434492753623
70000,2443046.6,34.900665714285715
71000,2477471.4,34.89396338028169
72000,2522544.9,35.03534583333333
73000,2569551.4,35.19933424657534
74000,2601642.3,35.157328378378374
75000,2638729.5,35.18306
76000,2663782.4,35.04976842105263
77000,2698316.8,35.04307532467532
78000,2733507.7,35.04497051282051
79000,2758961.6,34.92356455696203
80000,2814245.9,35.178073749999996
81000,2831750.3,34.95988024691358
82000,2878282.1,35.1010012195122
83000,2900017.0,34.93996385542169
84000,2930029.3,34.88130119047619
85000,2982213.7,35.084867058823534
86000,3014815.6,35.05599534883721
87000,3045192.7,35.00221494252874
88000,3094569.3,35.16556022727273
89000,3131619.9,35.186740449438204
90000,3160611.6,35.11790666666667
91000,3221001.1,35.395616483516484
92000,3239635.7,35.21343152173913
93000,3272091.5,35.18377956989247
94000,3304437.9,35.153594680851064
95000,3362858.4,35.39850947368421
96000,3402279.3,35.440409375
97000,3445967.2,35.525435051546395
98000,3470618.9,35.41447857142857
99000,3514160.7,35.49657272727273
100000,3531993.1,35.319931000000004
